row_type,method,pull_width_std_ddof1,gamma,lambda_scale,effective_nis_threshold_for_reported_10,pass_rate_for_lambda3_outlier_under_3sigmahat_cut
analytic_curve,analytic,,0.75,3.0,5.625,0.546745295246
analytic_curve,analytic,,0.76,3.0,5.776,0.552745415125
analytic_curve,analytic,,0.77,3.0,5.929,0.558700107315
analytic_curve,analytic,,0.78,3.0,6.084,0.564609124829
analytic_curve,analytic,,0.79,3.0,6.241,0.570472231673
analytic_curve,analytic,,0.8,3.0,6.4,0.576289202833
analytic_curve,analytic,,0.81,3.0,6.561,0.582059824257
analytic_curve,analytic,,0.82,3.0,6.724,0.587783892828
analytic_curve,analytic,,0.83,3.0,6.889,0.593461216344
analytic_curve,analytic,,0.84,3.0,7.056,0.599091613479
analytic_curve,analytic,,0.85,3.0,7.225,0.604674913755
analytic_curve,analytic,,0.86,3.0,7.396,0.610210957496
analytic_curve,analytic,,0.87,3.0,7.569,0.615699595793
analytic_curve,analytic,,0.88,3.0,7.744,0.621140690447
analytic_curve,analytic,,0.89,3.0,7.921,0.626534113926
analytic_curve,analytic,,0.9,3.0,8.1,0.631879749306
analytic_curve,analytic,,0.91,3.0,8.281,0.637177490216
analytic_curve,analytic,,0.92,3.0,8.464,0.642427240771
analytic_curve,analytic,,0.93,3.0,8.649,0.647628915509
analytic_curve,analytic,,0.94,3.0,8.836,0.652782439323
analytic_curve,analytic,,0.95,3.0,9.025,0.657887747383
analytic_curve,analytic,,0.96,3.0,9.216,0.662944785066
analytic_curve,analytic,,0.97,3.0,9.409,0.667953507873
analytic_curve,analytic,,0.98,3.0,9.604,0.672913881345
analytic_curve,analytic,,0.99,3.0,9.801,0.677825880978
analytic_curve,analytic,,1.0,3.0,10.0,0.682689492137
analytic_curve,analytic,,1.01,3.0,10.201,0.687504709957
analytic_curve,analytic,,1.02,3.0,10.404,0.692271539255
analytic_curve,analytic,,1.03,3.0,10.609,0.696989994423
analytic_curve,analytic,,1.04,3.0,10.816,0.701660099338
analytic_curve,analytic,,1.05,3.0,11.025,0.706281887248
analytic_curve,analytic,,1.06,3.0,11.236,0.710855400672
analytic_curve,analytic,,1.07,3.0,11.449,0.715380691288
analytic_curve,analytic,,1.08,3.0,11.664,0.719857819822
analytic_curve,analytic,,1.09,3.0,11.881,0.724286855936
analytic_curve,analytic,,1.1,3.0,12.1,0.728667878107
analytic_curve,analytic,,1.11,3.0,12.321,0.733000973515
analytic_curve,analytic,,1.12,3.0,12.544,0.737286237915
analytic_curve,analytic,,1.13,3.0,12.769,0.74152377552
analytic_curve,analytic,,1.14,3.0,12.996,0.745713698874
analytic_curve,analytic,,1.15,3.0,13.225,0.749856128726
analytic_curve,analytic,,1.16,3.0,13.456,0.753951193897
analytic_curve,analytic,,1.17,3.0,13.689,0.757999031158
analytic_curve,analytic,,1.18,3.0,13.924,0.76199978509
analytic_curve,analytic,,1.19,3.0,14.161,0.765953607954
analytic_curve,analytic,,1.2,3.0,14.4,0.769860659557
analytic_curve,analytic,,1.21,3.0,14.641,0.773721107112
analytic_curve,analytic,,1.22,3.0,14.884,0.777535125104
analytic_curve,analytic,,1.23,3.0,15.129,0.781302895149
analytic_curve,analytic,,1.24,3.0,15.376,0.785024605851
analytic_curve,analytic,,1.25,3.0,15.625,0.788700452666
analytic_curve,analytic,,1.26,3.0,15.876,0.792330637757
analytic_curve,analytic,,1.27,3.0,16.129,0.79591536985
analytic_curve,analytic,,1.28,3.0,16.384,0.799454864091
analytic_curve,analytic,,1.29,3.0,16.641,0.802949341901
analytic_curve,analytic,,1.3,3.0,16.9,0.806399030829
analytic_curve,analytic,,1.31,3.0,17.161,0.80980416441
analytic_curve,analytic,,1.32,3.0,17.424,0.813164982013
analytic_curve,analytic,,1.33,3.0,17.689,0.816481728699
analytic_curve,analytic,,1.34,3.0,17.956,0.819754655071
analytic_curve,analytic,,1.35,3.0,18.225,0.822984017125
analytic_curve,analytic,,1.36,3.0,18.496,0.826170076106
analytic_curve,analytic,,1.37,3.0,18.769,0.829313098356
analytic_curve,analytic,,1.38,3.0,19.044,0.83241335517
analytic_curve,analytic,,1.39,3.0,19.321,0.835471122645
analytic_curve,analytic,,1.4,3.0,19.6,0.838486681532
analytic_curve,analytic,,1.41,3.0,19.881,0.841460317093
analytic_curve,analytic,,1.42,3.0,20.164,0.844392318947
analytic_curve,analytic,,1.43,3.0,20.449,0.847282980927
analytic_curve,analytic,,1.44,3.0,20.736,0.850132600931
analytic_curve,analytic,,1.45,3.0,21.025,0.852941480781
analytic_curve,analytic,,1.46,3.0,21.316,0.855709926068
analytic_curve,analytic,,1.47,3.0,21.609,0.858438246017
analytic_curve,analytic,,1.48,3.0,21.904,0.861126753333
analytic_curve,analytic,,1.49,3.0,22.201,0.863775764067
analytic_curve,analytic,,1.5,3.0,22.5,0.866385597462
analytic_curve,analytic,,1.51,3.0,22.801,0.868956575822
