sample_label,method_label,metric,n,mean,median,std_ddof1,skewness,excess_kurtosis,abs_p95,abs_p99,abs_gt2_fraction,normality_test,normality_statistic,normality_p,anderson_statistic,anderson_crit_5pct,anderson_ratio_to_5pct,reject_normal_5pct,normal_loglik,laplace_loglik,laplace_minus_normal_loglik,aic_normal_minus_laplace
full_dataset_N1490:all_tracks,baseline,qop_pull,1490,0.039327,-0.000523,1.000471,0.373421,0.105956,1.823251,2.683975,0.033557,dagostino_pearson_k2,33.485699,5.3539e-08,6.071031,0.785,7.733797,1,-2114.420154,-2197.783958,-83.363805,-166.727609
full_dataset_N1490:all_tracks,baseline,qop_residual_true_minus_fit,1490,0.737892,0.006701,4.303662,0.521656,1.488622,9.575511,13.590039,0.600671,dagostino_pearson_k2,111.376763,0.0,13.370554,0.785,17.032552,1,-4288.323029,-4261.478478,26.844551,53.689103
full_dataset_N1490:all_tracks,replacement,qop_pull,1490,-0.056617,-0.074939,0.802154,0.814461,2.4084,1.602603,2.352423,0.019463,dagostino_pearson_k2,217.480853,0.0,11.816728,0.785,15.053157,1,-1785.24103,-1729.547853,55.693177,111.386354
full_dataset_N1490:all_tracks,replacement,qop_residual_true_minus_fit,1490,0.641632,0.36941,2.765794,0.351042,3.325229,6.107283,8.972239,0.331544,dagostino_pearson_k2,149.870372,0.0,23.405061,0.785,29.815365,1,-3629.536723,-3513.57887,115.957853,231.915706
full_dataset_N1490:bulk_truth_txy_lt4,baseline,qop_pull,1131,0.063177,-0.149165,1.069398,0.280154,-0.380434,1.851736,2.644516,0.038904,dagostino_pearson_k2,24.62475,4.495765e-06,14.373425,0.784,18.33345,1,-1680.204313,-1824.996903,-144.79259,-289.58518
full_dataset_N1490:bulk_truth_txy_lt4,baseline,qop_residual_true_minus_fit,1131,0.834988,0.34641,4.392918,0.65018,1.225508,9.54162,13.732579,0.675508,dagostino_pearson_k2,98.388394,0.0,11.343115,0.784,14.468258,1,-3278.192233,-3318.934348,-40.742115,-81.484229
full_dataset_N1490:bulk_truth_txy_lt4,replacement,qop_pull,1131,-0.037863,-0.115035,0.843952,0.736696,1.909583,1.657937,2.341009,0.02122,dagostino_pearson_k2,136.27176,0.0,5.869272,0.784,7.486316,1,-1412.434656,-1401.903688,10.530968,21.061936
full_dataset_N1490:bulk_truth_txy_lt4,replacement,qop_residual_true_minus_fit,1131,0.543931,0.402728,2.407337,0.631237,2.252707,5.530814,8.028125,0.300619,dagostino_pearson_k2,127.521489,0.0,11.205592,0.784,14.292846,1,-2597.926718,-2556.546313,41.380405,82.760811
full_dataset_N1490:transition_truth_txy_4_8,baseline,qop_pull,171,-0.087356,-0.158328,1.067424,0.738811,0.596793,1.759775,2.964173,0.035088,dagostino_pearson_k2,15.888941,0.00035461757,1.391351,0.77,1.806949,1,-253.294554,-259.546809,-6.252255,-12.50451
full_dataset_N1490:transition_truth_txy_4_8,baseline,qop_residual_true_minus_fit,171,1.02699,0.895062,5.653967,-0.3667,-0.102515,11.006575,13.340031,0.707602,dagostino_pearson_k2,3.875171,0.144051368656,0.654537,0.77,0.850048,0,-538.370141,-548.351629,-9.981488,-19.962976
full_dataset_N1490:transition_truth_txy_4_8,replacement,qop_pull,171,-0.234308,-0.509075,0.866201,1.429899,2.821977,1.552062,2.821022,0.02924,dagostino_pearson_k2,52.805828,3e-12,5.74529,0.77,7.461416,1,-217.574854,-209.983065,7.591789,15.183577
full_dataset_N1490:transition_truth_txy_4_8,replacement,qop_residual_true_minus_fit,171,2.231448,2.393964,4.02631,-0.454292,2.401558,8.334124,13.805078,0.637427,dagostino_pearson_k2,18.929465,7.7538755e-05,1.171779,0.77,1.521791,1,-480.314432,-489.538131,-9.2237,-18.447399
full_dataset_N1490:near_window_truth_txy_ge4,baseline,qop_pull,359,-0.035811,-9.4e-05,0.738889,0.844747,4.120064,1.579964,2.756116,0.016713,dagostino_pearson_k2,74.046987,0.0,24.265721,0.778,31.189873,1,-400.262123,-298.662626,101.599497,203.198994
full_dataset_N1490:near_window_truth_txy_ge4,baseline,qop_residual_true_minus_fit,359,0.431997,0.00157,3.999941,-0.062677,2.34758,9.599879,12.651354,0.364903,dagostino_pearson_k2,23.570149,7.617408e-06,19.65865,0.778,25.268187,1,-1006.572638,-924.874113,81.698526,163.397051
full_dataset_N1490:near_window_truth_txy_ge4,replacement,qop_pull,359,-0.115698,-0.010057,0.650739,1.093194,4.949168,1.266004,2.267728,0.013928,dagostino_pearson_k2,97.15946,0.0,11.686798,0.778,15.021591,1,-354.6552,-299.677138,54.978062,109.956123
full_dataset_N1490:near_window_truth_txy_ge4,replacement,qop_residual_true_minus_fit,359,0.949432,0.170468,3.660455,-0.080695,2.565386,7.743594,11.44954,0.428969,dagostino_pearson_k2,25.980944,2.281969e-06,8.930205,0.778,11.478412,1,-974.732085,-937.403268,37.328817,74.657634
