rank_by_baseline_abs_pull,event,particle,truth_txy,truth_regime_primary,truth_near_window,baseline_abs_qop_pull,baseline_qop_pull_last_effective,baseline_gaussian_nll_from_pull,mapped_kappa_F,mapped_omega_dz_deg,baseline_forward_mean_nis_per_hit
1,57,13,3.916373833024626,bulk_truth_txy_lt4,0,4.343930448449513,4.343930448449513,10.353804403688068,124.37374429292376,19.31383507272717,5.804835002841047
2,87,4,3.4868028808811458,bulk_truth_txy_lt4,0,3.831853295028136,3.831853295028136,8.260488370513663,124.37374429292376,19.31383507272717,3.484749175148282
3,32,11,5.349253631488103,transition_truth_txy_4_8,1,3.635079515114655,3.635079515114655,7.525840073807771,459.2821178534649,25.506644275471903,2.984722353017083
4,21,9,2.962477089677868,bulk_truth_txy_lt4,0,3.606991593407194,3.606991593407194,7.424132710659757,124.37374429292376,19.31383507272717,2.6610980863036
5,93,10,2.896091538720591,bulk_truth_txy_lt4,0,3.568765717135464,3.568765717135464,7.286982905105374,124.37374429292376,19.31383507272717,3.0873656759930737
6,37,13,5.029269100447376,transition_truth_txy_4_8,1,3.0456571108107653,3.0456571108107653,5.556952151520761,379.85635508031703,24.0379781164048,4.068293786356627
7,68,17,1.4011177248168774,bulk_truth_txy_lt4,0,3.023136508866573,-3.023136508866573,5.488615708825657,124.37374429292376,19.31383507272717,1.7902403907138384
8,69,4,4.038160073341595,transition_truth_txy_4_8,1,2.9292505616032285,2.9292505616032285,5.209192959531087,133.84574258852174,19.48898231550806,11.666658896453471
9,58,11,2.549581744530243,bulk_truth_txy_lt4,0,2.92023544936498,2.92023544936498,5.182826073068615,124.37374429292376,19.31383507272717,2.114788594167598
10,14,7,3.7632652547689673,bulk_truth_txy_lt4,0,2.9104479061265507,2.9104479061265507,5.1542920403428845,124.37374429292376,19.31383507272717,3.188990385722325
11,57,17,1.4006595602194087,bulk_truth_txy_lt4,0,2.9064746187600363,2.9064746187600363,5.142735887952822,124.37374429292376,19.31383507272717,4.579817213283541
12,66,9,5.29178718594344,transition_truth_txy_4_8,1,2.8592407755791367,2.8592407755791367,5.006567439571864,445.01793996836136,25.242884575655115,3.734716139536423
13,50,7,3.2654832718386366,bulk_truth_txy_lt4,0,2.837995014213353,2.837995014213353,4.946046383554597,124.37374429292376,19.31383507272717,3.005104840076537
14,37,8,2.767501129177728,bulk_truth_txy_lt4,0,2.818973825830997,2.818973825830997,4.892245248564797,124.37374429292376,19.31383507272717,2.616723212055247
15,75,14,2.282014581925714,bulk_truth_txy_lt4,0,2.704491496150667,2.704491496150667,4.57607565958031,124.37374429292376,19.31383507272717,2.2639682145379885
16,88,2,4.33859289381653,transition_truth_txy_4_8,1,2.6814391929229164,2.6814391929229164,4.5139966058762235,208.41842849524386,20.86790996263379,2.290507810878444
17,99,12,1.712085134032401,bulk_truth_txy_lt4,0,2.679894642334848,-2.679894642334848,4.509856180212184,124.37374429292376,19.31383507272717,1.2500594068016806
18,26,7,1.0684332412017523,bulk_truth_txy_lt4,0,2.561967192504303,2.561967192504303,4.200776480938862,124.37374429292376,19.31383507272717,5.015185925275716
19,99,4,1.4930322960122038,bulk_truth_txy_lt4,0,2.536615380962781,-2.536615380962781,4.13614732867315,124.37374429292376,19.31383507272717,1.3826044822229837
20,77,4,2.345711262124105,bulk_truth_txy_lt4,0,2.5136964424002115,2.5136964424002115,4.078273435472413,124.37374429292376,19.31383507272717,3.17649449965659
21,25,11,3.972316472677605,bulk_truth_txy_lt4,0,2.498317103504239,2.498317103504239,4.039732708035578,124.37374429292376,19.31383507272717,2.519910834324424
22,84,5,2.355981530808501,bulk_truth_txy_lt4,0,2.4401440610350607,2.4401440610350607,3.8960900525070117,124.37374429292376,19.31383507272717,2.650577228167554
23,45,12,1.9756479411428896,bulk_truth_txy_lt4,0,2.4224013602545966,-2.4224013602545966,3.852952708286333,124.37374429292376,19.31383507272717,1.0400270580986
24,45,17,1.4690284314539532,bulk_truth_txy_lt4,0,2.344500481873909,-2.344500481873909,3.667279787958168,124.37374429292376,19.31383507272717,1.3523599125241792
25,61,14,1.0080048928333445,bulk_truth_txy_lt4,0,2.314184197599113,2.314184197599113,3.596662783413398,124.37374429292376,19.31383507272717,4.263030236152893
26,44,6,2.407733552978978,bulk_truth_txy_lt4,0,2.311775494305526,2.311775494305526,3.5910915012404527,124.37374429292376,19.31383507272717,2.959441527951776
27,79,10,1.0802474567348332,bulk_truth_txy_lt4,0,2.2878940625604494,-2.2878940625604494,3.5361681539543515,124.37374429292376,19.31383507272717,1.4573917420657014
28,80,14,2.203126638658271,bulk_truth_txy_lt4,0,2.257678445301782,2.257678445301782,3.4674945143948084,124.37374429292376,19.31383507272717,3.419337684812209
29,90,1,2.293141949378625,bulk_truth_txy_lt4,0,2.253125216107695,2.253125216107695,3.457225152934847,124.37374429292376,19.31383507272717,1.815853165452712
30,79,7,1.1568643238558436,bulk_truth_txy_lt4,0,2.234135556648535,2.234135556648535,3.4146193759453025,124.37374429292376,19.31383507272717,4.122899646834181
31,21,17,2.727437851456948,bulk_truth_txy_lt4,0,2.2258733614347883,2.2258733614347883,3.3961946437771746,124.37374429292376,19.31383507272717,2.0062654068319024
32,35,8,2.7954589044516727,bulk_truth_txy_lt4,0,2.2198193565830557,2.2198193565830557,3.3827375211350783,124.37374429292376,19.31383507272717,2.240456000905057
33,51,9,1.1321729901397282,bulk_truth_txy_lt4,0,2.2117855020457062,2.2117855020457062,3.364936086734461,124.37374429292376,19.31383507272717,3.5680706848222976
34,25,13,1.4808813777151677,bulk_truth_txy_lt4,0,2.2011475336468176,-2.2011475336468176,3.3414637656444066,124.37374429292376,19.31383507272717,1.0320128737205212
35,91,3,1.9672405263855064,bulk_truth_txy_lt4,0,2.2007297798652883,2.2007297798652883,3.340544315197633,124.37374429292376,19.31383507272717,2.935974252751884
36,97,1,2.2060536346102086,bulk_truth_txy_lt4,0,2.191597799228379,2.191597799228379,3.3204889899960093,124.37374429292376,19.31383507272717,2.474357750966945
37,21,2,1.0232809704369772,bulk_truth_txy_lt4,0,2.189991407065175,-2.189991407065175,3.316969714714325,124.37374429292376,19.31383507272717,0.8321775337863506
38,70,8,1.171117049495553,bulk_truth_txy_lt4,0,2.189393832054681,-2.189393832054681,3.315661209124213,124.37374429292376,19.31383507272717,0.2929884140008696
39,63,1,4.304362794014929,transition_truth_txy_4_8,1,2.18643752467998,2.18643752467998,3.309193057869032,199.92191843677122,20.710800526635136,7.72633821017442
40,68,5,2.287574476082778,bulk_truth_txy_lt4,0,2.1833041804494293,2.1833041804494293,3.30234710538865,124.37374429292376,19.31383507272717,2.182432885787614
41,28,3,1.0605762621790624,bulk_truth_txy_lt4,0,2.1778279728018965,-2.1778279728018965,3.290405872763882,124.37374429292376,19.31383507272717,1.0602998327134905
42,13,7,1.8131284318699163,bulk_truth_txy_lt4,0,2.1636284456310717,2.1636284456310717,3.2595825585766365,124.37374429292376,19.31383507272717,3.4318770923303945
43,8,18,1.126592845506034,bulk_truth_txy_lt4,0,2.144807570077911,-2.144807570077911,3.219038289536429,124.37374429292376,19.31383507272717,0.2790773329506316
44,64,2,1.092932268593504,bulk_truth_txy_lt4,0,2.091381723909936,2.091381723909936,3.1058772907569208,124.37374429292376,19.31383507272717,3.589970858426547
45,25,19,1.044304116930368,bulk_truth_txy_lt4,0,2.086226533660181,2.086226533660181,3.0951091080785593,124.37374429292376,19.31383507272717,2.5175649906921334
46,36,1,3.48572680990007,bulk_truth_txy_lt4,0,2.083471076136212,2.083471076136212,3.089364395752765,124.37374429292376,19.31383507272717,2.4845367358483004
47,38,10,2.764047393229444,bulk_truth_txy_lt4,0,2.0654531074912974,2.0654531074912974,3.0519868028274013,124.37374429292376,19.31383507272717,2.543731410291308
48,61,18,1.2137937342834508,bulk_truth_txy_lt4,0,2.0281836596788527,-2.0281836596788527,2.975703011898825,124.37374429292376,19.31383507272717,0.4524708701701437
49,57,11,1.0480948679027386,bulk_truth_txy_lt4,0,2.016721834614831,-2.016721834614831,2.9525220123107774,124.37374429292376,19.31383507272717,0.4452609879227194
50,32,4,2.925939905527026,bulk_truth_txy_lt4,0,2.0086825713825203,2.0086825713825203,2.9363413694926197,124.37374429292376,19.31383507272717,1.9657645374976145
