sample_label,method,family,n,k_parameters,log_likelihood,aic,bic,loc,scale,student_t_df,fit_error,delta_aic_from_best,delta_aic_best_2param_minus_student_t,delta_aic_laplace_minus_student_t,student_t_retained_by_rule
all_tracks,baseline,normal,1490,2,-2114.420153830686,4232.840307661373,4243.453370459252,0.039327198427,1.000135404707,,,0.0,-1.654000888793,165.073608222036,no
all_tracks,baseline,laplace,1490,2,-2197.783958386102,4399.567916772203,4410.180979570082,-0.000523166966,0.804025422967,,,166.72760911083,-1.654000888793,165.073608222036,no
all_tracks,baseline,student_t,1490,3,-2114.247154275083,4234.494308550166,4250.413902746984,0.035983709983,0.990619990128,106.139895462905,,1.654000888793,-1.654000888793,165.073608222036,no
all_tracks,replacement,normal,1490,2,-1785.24103028681,3574.48206057362,3585.0951233715,-0.056616849889,0.801884905528,,,111.386353940994,-16.076650785366,-16.076650785366,no
all_tracks,replacement,laplace,1490,2,-1729.547853316313,3463.095706632626,3473.708769430506,-0.074939277809,0.587207629231,,,0.0,-16.076650785366,-16.076650785366,no
all_tracks,replacement,student_t,1490,3,-1736.586178708996,3479.172357417992,3495.09195161481,-0.107247113085,0.632772861002,5.103290443699,,16.076650785366,-16.076650785366,-16.076650785366,no
near_window_truth_txy_ge4,baseline,normal,359,2,-400.26212289484,804.524245789679,812.290890566656,-0.035810680556,0.737859200561,,,577.921145854589,374.722152068184,374.722152068184,no
near_window_truth_txy_ge4,baseline,laplace,359,2,-298.662626001637,601.325252003274,609.091896780251,-9.3833507e-05,0.422647043737,,,374.722152068184,374.722152068184,374.722152068184,no
near_window_truth_txy_ge4,baseline,student_t,359,3,-110.301549967545,226.60309993509,238.253067100555,-2.869506e-05,0.001669944786,0.209733394632,,0.0,374.722152068184,374.722152068184,yes
near_window_truth_txy_ge4,replacement,normal,359,2,-354.655199547474,713.310399094948,721.077043871925,-0.115698288243,0.649832240184,,,109.956123041706,-35.487801540673,-35.487801540673,no
near_window_truth_txy_ge4,replacement,laplace,359,2,-299.677138026621,603.354276053242,611.120920830219,-0.010056744917,0.423843107617,,,0.0,-35.487801540673,-35.487801540673,no
near_window_truth_txy_ge4,replacement,student_t,359,3,-316.421038796958,638.842077593915,650.49204475938,-0.084729015234,0.347079698674,2.076035746571,,35.487801540673,-35.487801540673,-35.487801540673,no
extreme_truth_txy_ge8,baseline,normal,188,2,236.64764758961,-469.29529517922,-462.82241125356,0.011074055159,0.068720851115,,,482.397041469854,285.165769227733,285.165769227733,no
extreme_truth_txy_ge8,baseline,laplace,188,2,335.263283710671,-666.526567421341,-660.053683495681,-1.74868e-07,0.030916584636,,,285.165769227733,285.165769227733,285.165769227733,no
extreme_truth_txy_ge8,baseline,student_t,188,3,478.846168324537,-951.692336649074,-941.983010760584,-1.3567972e-05,0.000582811783,0.321534301863,,0.0,285.165769227733,285.165769227733,yes
extreme_truth_txy_ge8,replacement,normal,188,2,-53.530692205536,111.061384411072,117.534268336732,-0.007814338025,0.32167910177,,,346.043197197129,154.342468098295,154.342468098295,no
extreme_truth_txy_ge8,replacement,laplace,188,2,42.319672343881,-80.639344687762,-74.166460762103,-2.6422483e-05,0.146863481544,,,154.342468098295,154.342468098295,154.342468098295,no
extreme_truth_txy_ge8,replacement,student_t,188,3,120.490906393028,-234.981812786057,-225.272486897567,-0.000617090927,0.011738299891,0.471164361463,,0.0,154.342468098295,154.342468098295,yes
