"protocol_version","method_pair_label","method_label","profile","runtime_preset","regime_source","regime_label","tracks_requested_total","tracks_processed_total","method_tracks_valid_total","pair_tracks_valid_total","tracks_requested","tracks_processed","tracks_valid","tracks_metric","runtime_success_fraction","pair_metric_fraction","chi2_ndf_mean","chi2_ndf_median","dp_over_p_mean","dp_over_p_median","dp_over_p_sigma","qop_pull_mean","qop_pull_median","qop_pull_sigma","qop_pull_abs_lt2_fraction","forward_innovation_reduced_chi2_mean","forward_innovation_reduced_chi2_median","forward_innovation_reduced_chi2_sigma","forward_mean_nis_per_hit_mean","forward_mean_nis_per_hit_median","forward_mean_nis_per_hit_sigma","physics_success_composite_fraction","pseudo_hits_mean","triplet_hits_mean","layer3_recenter_hits_mean","transition_trigger_hits_mean","router_hits_mean","eta_damped_hits_mean","late_danger_pre_hits_mean","layer3_underrestore_hits_mean","l4_extension_hits_mean","global_circle_restore_hits_mean","near_boundary_policy_split_hits_mean","upper_band_history_guard_hits_mean","transition_covariance_shaping_hits_mean","bulk_covariance_shaping_hits_mean","transition_preinflation_enabled_mean","bulk_p1_shaping_enabled_mean","postinterp_ab_applied_mean","postinterp_outer_law_applied_mean","postinterp_transition_recenter_applied_mean","postinterp_covariance_propagated_mean"
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_dataset","default","truth_txy","all_tracks","1490","1490","1490","1490","1490","1490","1490","1490","1.0","1.0","1.5705967409233106","0.5751441462284361","-0.14410276420111073","-0.16831110438247893","0.20738017694471803","0.0393271984274172","-0.0005231669662797972","1.0001354047071445","0.9664429530201343","0.5817601183386238","0.2113417642679202","0.5978931749566931","1.1635202366772477","0.4226835285358404","1.1957863499133863","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_dataset","default","truth_txy","bulk_truth_txy_lt4","1490","1490","1490","1490","1131","1131","1131","1131","1.0","1.0","1.7440039816724058","1.8955424214801748","-0.1897239755045242","-0.18715992971309872","0.10121589962902723","0.06317732977575362","-0.14916491578166868","1.0689247701092046","0.9610963748894783","0.6444980867024394","0.7065849941278539","0.5504307634565555","1.2889961734048787","1.4131699882557078","1.100861526913111","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_dataset","default","truth_txy","transition_truth_txy_4_8","1490","1490","1490","1490","171","171","171","171","1.0","1.0","1.939643941917963","0.4206567951011136","-0.017590813852740618","-0.15531827573888696","0.4914138081965512","-0.08735647186777454","-0.1583279618725776","1.0642987866921818","0.9649122807017544","0.7273664782192362","0.1577462981629176","0.8546594513013934","1.4547329564384723","0.3154925963258352","1.7093189026027868","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_dataset","default","truth_txy","extreme_truth_txy_ge8","1490","1490","1490","1490","188","188","188","188","1.0","1.0","0.19171024806526688","0.02522078136320669","0.015280461727556031","-5.7063978404085776e-08","0.08417472387724396","0.011074055158849658","-1.7486809901870642e-07","0.06872085111470316","1.0","0.07189134302447507","0.009457793011202508","0.20781986894288995","0.14378268604895014","0.018915586022405017","0.4156397378857799","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_dataset","default","truth_txy","near_window_truth_txy_ge4","1490","1490","1490","1490","359","359","359","359","1.0","1.0","1.024291478284796","0.20687205842871334","-0.00037688680790560423","-0.0011315341468800836","0.34497256472933696","-0.03581068055578192","-9.383350739880602e-05","0.7378592005606905","0.9832869080779945","0.3841093043567986","0.0775770219107675","0.6911692772327857","0.7682186087135972","0.155154043821535","1.3823385544655713","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_dataset","default","truth_txy","all_tracks","1490","1490","1490","1490","1490","1490","1490","1490","1.0","1.0","1.2429074861679943","0.5336674582078771","-0.05995287617409728","-0.08607922010492398","0.4134046237715094","-0.05661684988938318","-0.07493927780922886","0.8018849055283805","0.9805369127516779","0.4602548219793069","0.19886639972831563","0.4345160702058976","0.9205096439586138","0.39773279945663126","0.8690321404117952","","0.0174496644295302","0.0","0.008053691275167786","","","1.212751677852349","0.0","0.009395973154362415","","","","","0.01476510067114094","0.0","1.0","0.0","1.0","0.7308724832214765","0.10536912751677853","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_dataset","default","truth_txy","bulk_truth_txy_lt4","1490","1490","1490","1490","1131","1131","1131","1131","1.0","1.0","1.3943892380382743","1.5479715303866268","-0.09980857261265602","-0.09495537658981087","0.10682244105294045","-0.03786332524852154","-0.1150349666440662","0.8435791679208968","0.9787798408488063","0.5152081895983939","0.5754840892035673","0.41955005712313453","1.0304163791967877","1.1509681784071346","0.8391001142462691","","0.0","0.0","0.0","","","0.030061892130857647","0.0","0.0","","","","","0.007957559681697613","0.0","1.0","0.0","1.0","0.9522546419098143","0.03801945181255526","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_dataset","default","truth_txy","transition_truth_txy_4_8","1490","1490","1490","1490","171","171","171","171","1.0","1.0","1.3974891943707222","0.5302266955803385","-0.12549520322360302","-0.18803622408146065","0.2607291851567118","-0.23430754345264554","-0.5090745757392738","0.8636644371815468","0.9707602339181286","0.5240584478890208","0.19883501084262695","0.5086003248284605","1.0481168957780416","0.3976700216852539","1.017200649656921","","0.15204678362573099","0.0","0.07017543859649122","","","4.871345029239766","0.0","0.08187134502923976","","","","","0.07602339181286549","0.0","1.0","0.0","1.0","0.07017543859649122","0.6140350877192983","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_dataset","default","truth_txy","extreme_truth_txy_ge8","1490","1490","1490","1490","188","188","188","188","1.0","1.0","0.19099613793420078","0.022417171758253626","0.23943292487630385","-1.1619139769034438e-06","1.0587369374530158","-0.007814338025003736","-2.6422483405279736e-05","0.32167910176967934","1.0","0.0716235517253253","0.00840643940934511","0.17100718368792922","0.1432471034506506","0.01681287881869022","0.34201436737585844","","0.0","0.0","0.0","","","5.0","0.0","0.0","","","","","0.0","0.0","1.0","0.0","1.0","0.0","0.047872340425531915","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_dataset","default","truth_txy","near_window_truth_txy_ge4","1490","1490","1490","1490","359","359","359","359","1.0","1.0","0.7656766745655244","0.16168373760368218","0.06560922040531757","-0.024257895524663568","0.8078370614152232","-0.115698288242627","-0.010056744916816986","0.6498322401837199","0.9860724233983287","0.28712875296207163","0.06063140160138082","0.4354150305894611","0.5742575059241433","0.12126280320276164","0.8708300611789223","","0.07242339832869081","0.0","0.033426183844011144","","","4.938718662952646","0.0","0.03899721448467967","","","","","0.036211699164345405","0.0","1.0","0.0","1.0","0.033426183844011144","0.31754874651810583","1.0"
